gene,signal
Rpl3l,0.080712
Slc9a3r2,-0.150246
Puf60,0.003069
Golga2,0.05782
Uck1,-0.000365
Scin,0.008488
Ikzf4,0.17483
Mien1,-0.031438
Pon1,-0.00289
Axl,0.105802
Tgfb1,-0.003109
Ccdc97,-0.000989
Zfp40,-0.078515
Akap8l,-0.043553
Shh,-0.004253
Pdcd2l,-0.000445
Gtf2f1,0.113473
Clpp,0.001782
Alkbh7,-0.110056
Pspn,0.000159
Dennd1c,-0.000474
Med6,0.011284
Prkd1,-0.00144
Lcp2,0.154265
Cse1l,-0.045162
Naa20,0.143861
Prkra,-0.073292
Fkbp7,-0.001033
Plekha3,0.04226
Ykt6,0.071066
Baz1b,-0.000476
Pex6,-0.131483
Mrpl2,0.000178
Mea1,-0.000836
Gnmt,0.012085
Grin2d,0.000968
Kdelr1,-0.040172
Tmem143,-0.06222
Pdxk.ps,-1.1e-05
Ggct,0.090585
Jag2,-0.049548
Btbd6,-0.079443
Nudt14,-0.084388
Epdr1,-0.066011
Flii,0.06185
Top3a,0.004076
Atg4d,0.005376
Qtrt1,0.052142
Plin4,0.146771
Hdgfl2,-0.001334
Chaf1a,-0.054681
Adprh,0.17143
Tmem39a,0.097327
Timmdc1,-0.112436
Pla1a,0.247029
Mcm2,-0.092707
Tpra1,-0.089872
Nab1,0.102939
Adgre5,0.00065
Il17ra,0.214894
Lamb1,0.000693
Kcnn1,-0.002724
Arrdc2,0.049097
Ppp1r17,0.000362
Cd36,-0.143347
Map2k7,0.00418
Timm44,0.025756
Ap2a2,-0.030217
Pnkp,0.014446
Med25,-0.000909
Bcam,-0.02682
Clptm1,0.004242
Relb,0.269553
Tomm40,0.000424
Apoe,-0.042932
Apoc2,-0.000576
Hbp1,0.121056
Prkar2b,-0.084222
Cdkn1b,-0.043017
Klf4,-0.139101
Ap1m1,0.045636
Rab8a,0.106051
Hmgn2,-0.001812
Fam32a,0.06609
Elf3,0.128306
Cyp2c29,-2.2e-05
Stard3nl,-0.000695
Stk11,0.041973
Efna2,-0.003128
Atp5d,0.00034
Ppp5c,-0.008991
Cdk12,0.098936
Lipe,0.051419
Pafah1b2,0.059805
Tbc1d8,0.145943
Cnot11,0.004021
Slc2a3,0.001475
Foxj2,0.00188
Sri,0.064257
Dgcr2,-0.023035
Irf3,-0.035014
Bcl2l12,-0.113769
Zfp959,-0.002318
Mpnd,-0.003013
Sh3gl1,0.078643
Ebi3,0.322802
Yju2,0.075903
Ranbp2,0.122245
Edar,-0.000687
Grk5,0.154619
Dvl3,-0.000647
Abcf3,-0.00133
Eif2b5,0.000663
Cyth2,0.000741
Sult2b1,-0.000947
Car11,-0.003138
Dlgap1,0.013862
Plag1,0.000361
Hck,0.226283
Mrpl4,0.000105
Keap1,0.085471
Ap1m2,0.000491
Glg1,-0.002038
Atp8b3,7.6e-05
Btbd2,-0.107483
Csnk1g2,-0.048915
Abhd17a,-0.091041
Mob3a,-0.000467
Cacnb3,0.053491
Ccdc65,-0.001338
Fkbp11,-0.057755
Ddx23,0.07824
Pld3,-0.037851
Grik5,-0.000798
Cd79a,-0.139143
Rabac1,0.0477
Etv3,0.154843
Prkcsh,-0.037208
Elavl3,-0.012004
Rab3b,-0.005044
St8sia6,-0.068249
Fcgrt,-0.204543
Nosip,0.05099
Pih1d1,-0.037324
Rps11,-0.070403
Supt5,0.063082
Dll3,0.001738
Paf1,0.001236
Timm50,-0.000228
Med29,0.000445
Bicd1,0.065146
Ncstn,0.007231
Pex19,-0.001502
Phyhip,-0.004936
Crhr2,-0.001451
Inmt,-0.140959
Cyp4f18,-0.064294
Impdh1,-0.056868
Dusp3,-0.15871
Prodh,0.005183
Ess2,0.002864
Slc25a1,0.002722
Dgcr6,-0.059815
Ddr1,0.04813
Ier3,0.557413
Fosb,-0.061951
Klc4,-0.057391
Ercc1,0.062816
Cyp17a1,0.00084
As3mt,-0.118066
Homer3,-0.023171
Crtc1,-0.033722
Rnf215,0.004764
Sec14l2,-0.098799
Aven,-0.00141
Cp,0.337051
Crot,-0.060598
Rps6ka1,-0.000324
Calb2,6.8e-05
Snrnp200,0.039945
Ciao1,-0.00393
Has1,0.056585
Taf6l,-0.015569
Insig2,-0.001183
Kpna6,0.043094
Man1a,-0.063897
Itpkc,0.052032
Coq8b,0.078129
Brd8,-0.001957
Kif20a,-0.091351
Farsa,0.077996
Gcdh,-0.108662
Mast2,-0.002833
Dnase2a,-0.080366
Rad23a,-0.040793
Calr,0.029121
Syce2,-0.002186
Nfat5,0.063343
Nob1,0.073629
Nqo1,0.070071
Ppfia3,-0.029176
Gys1,0.007555
Ruvbl2,-0.001067
Lin7b,-0.001098
Bax,0.10277
Il7r,0.16318
Tfam,-0.000601
Zfp81,-0.000144
Efnb3,-0.002431
Mmd,-0.097119
Hlf,-0.150438
Fam162a,-0.003271
Rpl8,-0.000663
Grm3,-0.000954
Ssbp2,0.053589
Fancl,-0.003807
Brinp2,0.000634
Gstm5,-0.001459
Gstm7,-0.009952
Gstm3,-0.031381
Stat3,0.336404
Stat5a,0.183924
Cavin1,-0.099939
Map3k11,0.05613
Akt2,0.034436
Dnaja3,-0.051538
Hmox2,0.096179
Cdip1,0.011275
Map3k20,0.085768
Cwc15,0.032491
Col5a3,-0.061575
Dnmt1,-0.067514
Ppan,0.123742
Angptl2,-0.224067
Cacna1e,-0.133703
Cacna1b,-0.000469
Trmt10a,0.001167
Etv1,-0.035933
Kifc2,-0.083182
Psap,0.000441
Ikbkg,0.003008
Pax2,-0.000809
Wars2,-0.000882
Atn1,0.003318
Phb2,-0.048233
Ptpn6,0.05268
Eno2,0.049271
Emg1,0.000439
Lpcat3,0.004891
Atp6v1f,-0.000103
Il12b,0.062852
Clcn5,7.9e-05
Clcn3,-0.090701
Hif3a,0.085018
Gpx6,0.016894
Gpx5,0.008639
Pde1c,-0.000565
Utp20,0.081045
Spic,0.160194
X9330159F19Rik,-7e-04
Cul3,0.022333
Sst,0.001076
Il11,-0.002067
Large1,0.066001
Ddx56,0.074961
Tmed4,0.000474
Col26a1,-0.003453
Bid,0.01222
Ralb,0.12636
Ppp1cc,-0.001356
Dnajb11,0.05822
Tbccd1,-0.083297
Clec11a,-0.092799
Zfp324,-0.017862
Gab2,0.235813
Coro1c,0.000443
Tax1bp1,0.130909
Psg17,-6.7e-05
Psg19,0.000251
Ctse,0.007733
Ndrg2,-0.044393
Mettl17,-0.054344
Arhgef40,0.003808
Pnpla6,-0.046692
Mcoln1,-0.003804
Arhgef18,-0.079528
Pkn2,0.043784
Cd33,0.1613
Etfb,-0.051395
Nkg7,-0.063551
Stxbp2,0.038023
Pcp2,0.001203
Sgce,-0.061144
Chn2,-0.00018
Wwox,-0.001125
Slbp,-0.039699
Tyr,0.034766
Ghrhr,-7.9e-05
Aqp1,-0.10705
Arid3b,0.002006
Cnn2,-0.077242
Polr2e,-0.015184
Abca13,0.080965
